age,allergy_peanut,allergy_cashew,login_30d,view_cashew_30d,view_peanut_30d,click_rec_cashew_30d,click_rec_peanut_30d,purchase_cashew_90d,purchase_peanut_90d,days_since_last_purchase,days_since_last_active,label_confidence,gender_female,gender_male,activity_high,activity_low,activity_moderate,goal_energy,goal_healthy,goal_snack,source_general,source_history,source_questionnaire
38,0,0,8,11,8,2,3,0,2,2,4,0.563,True,False,True,False,False,False,True,False,False,False,True
37,0,0,4,1,7,0,2,1,1,47,2,0.82,True,False,False,True,False,True,False,False,True,False,False
33,0,0,8,13,9,1,1,1,0,46,3,0.675,True,False,True,False,False,True,False,False,False,False,True
24,0,0,6,9,7,3,2,4,0,29,2,0.861,True,False,False,False,True,False,True,False,False,True,False
31,0,0,4,6,6,3,2,0,0,39,1,0.618,True,False,False,True,False,True,False,False,True,False,False
42,0,0,11,4,4,1,4,0,1,67,0,0.719,True,False,True,False,False,False,True,False,True,False,False
31,0,0,4,7,7,3,0,1,0,39,0,0.73,True,False,False,False,True,False,False,True,False,False,True
28,1,0,4,4,4,4,0,0,2,80,4,0.85,False,True,False,True,False,False,True,False,True,False,False
24,0,0,3,5,8,2,0,1,0,68,5,0.711,True,False,False,True,False,True,False,False,False,False,True
33,0,0,4,7,4,0,2,0,0,49,8,0.669,True,False,False,False,True,True,False,False,False,False,True
26,0,0,8,12,8,2,1,1,2,26,4,0.801,False,True,True,False,False,True,False,False,False,True,False
44,0,0,3,3,8,3,0,0,1,31,10,0.796,False,True,False,True,False,True,False,False,False,False,True
42,0,0,5,10,0,0,0,2,0,48,0,0.628,False,True,False,False,True,False,True,False,False,False,True
34,1,0,9,12,7,0,2,1,3,44,4,0.85,False,True,True,False,False,True,False,False,False,False,True
43,0,0,6,9,7,4,3,1,0,36,3,0.809,True,False,False,False,True,False,False,True,False,False,True
40,0,0,2,7,9,5,4,1,1,35,5,0.799,True,False,False,False,True,True,False,False,False,False,True
18,1,0,5,6,2,0,1,1,2,54,6,0.85,True,False,False,True,False,False,True,False,False,True,False
44,0,0,6,4,5,4,0,0,0,35,7,0.719,True,False,False,False,True,False,True,False,False,False,True
38,0,0,8,13,8,7,2,4,0,37,9,0.769,True,False,False,False,True,True,False,False,True,False,False
17,0,0,6,1,11,0,0,0,0,22,11,0.845,True,False,False,False,True,True,False,False,False,False,True
30,0,0,3,5,5,1,2,2,0,13,0,0.646,False,True,False,True,False,False,True,False,True,False,False
29,0,0,4,4,7,0,3,0,0,63,3,0.85,True,False,False,False,True,False,True,False,False,False,True
19,0,0,9,12,12,6,0,0,0,37,3,0.95,False,True,True,False,False,True,False,False,False,False,True
28,0,0,4,3,8,3,4,1,2,43,14,0.711,False,True,False,True,False,True,False,False,True,False,False
22,0,0,6,12,6,7,1,2,3,37,0,0.68,True,False,True,False,False,False,True,False,False,False,True
25,0,0,3,4,12,0,0,1,1,7,8,0.731,False,True,False,False,True,True,False,False,False,False,True
18,0,0,10,13,11,3,3,2,1,37,11,0.611,False,True,True,False,False,False,True,False,True,False,False
30,0,1,6,4,0,0,0,0,0,28,10,0.85,False,True,False,True,False,False,True,False,False,True,False
22,0,0,7,6,3,2,0,0,1,24,11,0.726,True,False,False,False,True,False,False,True,False,True,False
37,0,0,3,6,9,6,0,3,0,42,7,0.615,True,False,False,False,True,True,False,False,True,False,False
23,0,0,7,7,7,1,0,0,0,58,23,0.95,True,False,True,False,False,True,False,False,False,False,True
44,0,0,2,2,4,2,1,0,2,63,9,0.689,True,False,False,True,False,False,False,True,False,True,False
30,0,0,6,9,9,2,0,0,0,36,13,0.613,False,True,False,True,False,False,True,False,False,False,True
31,0,0,5,0,2,0,0,2,0,58,7,0.69,False,True,False,False,True,False,False,True,False,False,True
38,0,0,4,10,12,3,5,1,0,47,7,0.848,True,False,False,False,True,True,False,False,False,False,True
30,0,0,9,6,8,0,0,0,0,33,0,0.803,False,True,False,False,True,True,False,False,False,True,False
24,0,1,4,8,8,2,5,2,0,48,18,0.85,True,False,False,False,True,False,True,False,False,True,False
17,0,0,2,3,12,1,5,0,0,22,0,0.586,False,True,False,True,False,False,True,False,False,False,True
34,0,0,8,8,4,3,2,0,0,13,7,0.739,False,True,True,False,False,False,False,True,False,True,False
35,0,0,3,3,0,0,0,1,2,20,8,0.688,False,True,False,True,False,False,False,True,False,True,False
27,0,0,3,6,5,3,3,1,3,61,4,0.699,False,True,False,True,False,True,False,False,False,True,False
34,0,0,5,8,5,2,5,2,1,27,4,0.882,True,False,False,False,True,True,False,False,False,True,False
44,0,0,8,10,9,0,0,2,0,28,0,0.653,True,False,True,False,False,True,False,False,False,True,False
37,0,0,3,1,6,2,2,0,0,48,0,0.681,True,False,False,True,False,False,True,False,False,False,True
28,0,0,8,9,8,0,7,0,0,51,6,0.942,True,False,True,False,False,True,False,False,False,True,False
43,0,0,6,11,5,4,0,1,0,58,14,0.624,False,True,True,False,False,True,False,False,False,False,True
45,0,0,10,12,1,2,0,0,0,57,0,0.673,True,False,True,False,False,True,False,False,False,True,False
41,0,0,0,10,7,2,1,0,1,39,10,0.753,False,True,False,True,False,True,False,False,True,False,False
40,0,0,9,6,5,1,2,2,1,18,11,0.688,True,False,True,False,False,False,False,True,False,False,True
37,0,0,1,9,3,3,0,3,0,40,20,0.93,False,True,False,True,False,False,True,False,False,False,True
30,0,0,7,13,8,5,1,0,1,52,7,0.743,False,True,True,False,False,False,True,False,False,True,False
34,0,0,0,5,10,2,4,0,1,48,2,0.811,False,True,False,True,False,False,True,False,False,True,False
21,0,0,6,4,11,0,2,0,2,40,5,0.623,False,True,False,False,True,True,False,False,False,True,False
22,0,0,2,10,4,0,0,0,0,31,4,0.72,False,True,False,True,False,False,True,False,False,False,True
17,0,0,3,9,1,0,3,0,2,39,6,0.786,True,False,False,False,True,False,True,False,False,True,False
45,0,0,2,4,10,3,2,0,1,20,0,0.78,False,True,False,True,False,True,False,False,False,False,True
44,0,0,2,3,6,3,0,1,2,32,10,0.639,False,True,False,False,True,False,True,False,False,False,True
21,0,0,4,7,6,2,5,0,1,55,14,0.716,False,True,False,True,False,False,True,False,False,False,True
30,0,0,7,4,8,7,0,2,0,45,7,0.582,False,True,True,False,False,False,False,True,False,True,False
34,0,0,3,7,11,0,5,0,0,8,10,0.95,True,False,False,True,False,True,False,False,True,False,False
23,0,0,6,6,5,0,2,0,1,37,21,0.747,True,False,False,False,True,False,True,False,False,False,True
19,0,0,5,6,4,0,3,1,0,29,0,0.662,False,True,False,False,True,False,False,True,False,False,True
31,0,0,2,1,3,0,2,0,4,3,8,0.721,False,True,False,False,True,False,False,True,False,False,True
27,0,0,0,9,6,0,2,0,0,45,0,0.899,True,False,False,False,True,False,True,False,False,True,False
19,0,0,3,6,7,0,1,1,0,31,2,0.659,True,False,False,True,False,True,False,False,False,True,False
40,0,0,3,3,3,0,3,1,3,75,0,0.606,False,True,False,False,True,False,False,True,False,False,True
36,0,0,9,5,5,0,5,2,1,10,8,0.725,True,False,False,True,False,False,True,False,False,False,True
28,0,0,9,3,7,1,1,0,0,29,6,0.626,True,False,True,False,False,False,True,False,False,False,True
35,0,0,5,10,0,0,1,0,0,26,10,0.78,False,True,False,False,True,False,True,False,False,True,False
37,0,0,1,5,7,1,0,1,1,36,8,0.643,True,False,False,True,False,False,True,False,False,True,False
26,0,0,1,5,10,0,3,0,1,43,2,0.872,False,True,False,True,False,True,False,False,True,False,False
32,0,1,6,6,10,3,1,0,0,15,0,0.85,False,True,False,False,True,True,False,False,False,True,False
27,1,0,1,7,3,3,3,0,0,0,5,0.85,False,True,False,True,False,True,False,False,False,True,False
19,1,0,7,8,9,3,1,1,1,0,14,0.85,True,False,True,False,False,True,False,False,True,False,False
33,0,0,3,5,6,3,3,0,0,19,14,0.95,False,True,False,False,True,True,False,False,False,True,False
22,0,0,1,3,2,0,5,0,1,3,3,0.595,False,True,False,False,True,False,False,True,False,False,True
29,0,0,4,8,10,2,2,1,0,29,7,0.725,True,False,False,False,True,True,False,False,True,False,False
39,0,0,1,5,6,0,0,0,1,44,8,0.753,False,True,False,True,False,False,True,False,False,False,True
25,1,0,6,1,8,0,0,2,1,12,17,0.85,True,False,False,False,True,False,False,True,True,False,False
45,0,0,3,2,1,2,0,1,0,58,4,0.814,True,False,False,True,False,False,True,False,True,False,False
28,0,0,9,5,5,0,3,1,1,14,11,0.929,False,True,False,False,True,True,False,False,False,True,False
36,0,0,10,7,7,1,1,2,0,44,5,0.677,False,True,True,False,False,False,False,True,False,True,False
23,0,0,1,7,9,0,3,2,2,33,4,0.836,False,True,False,True,False,True,False,False,False,False,True
38,0,0,8,6,0,0,2,0,0,60,0,0.593,True,False,False,False,True,False,False,True,False,True,False
29,0,0,5,9,11,2,1,0,0,38,20,0.8,False,True,False,False,True,True,False,False,False,False,True
44,0,0,8,10,6,2,7,1,0,22,1,0.735,True,False,True,False,False,False,False,True,False,True,False
31,0,0,3,9,7,1,0,2,1,45,14,0.87,False,True,False,False,True,True,False,False,True,False,False
26,0,0,6,9,5,6,2,0,0,3,7,0.772,False,True,False,False,True,False,True,False,False,False,True
27,0,0,3,6,7,0,1,0,0,45,13,0.718,True,False,False,True,False,True,False,False,False,False,True
27,0,0,5,5,3,0,1,0,0,20,0,0.723,False,True,False,False,True,False,False,True,False,False,True
23,0,0,3,7,6,0,1,2,0,9,12,0.812,True,False,False,False,True,False,True,False,False,False,True
34,0,0,3,6,6,4,3,0,0,37,5,0.703,False,True,False,False,True,False,False,True,False,True,False
22,0,0,5,0,1,4,0,0,2,35,13,0.701,True,False,False,False,True,False,False,True,False,False,True
23,0,0,7,10,17,1,3,0,0,18,0,0.831,False,True,False,False,True,True,False,False,False,False,True
40,0,0,5,6,6,1,2,4,0,42,14,0.732,True,False,False,False,True,False,False,True,False,False,True
18,0,0,5,6,9,7,4,3,2,61,5,0.834,True,False,False,False,True,True,False,False,False,True,False
34,0,0,3,7,4,0,1,0,2,63,16,0.787,True,False,False,True,False,True,False,False,False,False,True
43,0,0,3,11,4,0,2,0,0,33,5,0.909,False,True,False,True,False,False,True,False,False,False,True
26,0,0,8,3,8,0,0,0,0,23,10,0.759,True,False,True,False,False,False,True,False,False,True,False
25,0,0,4,4,11,0,0,2,2,21,3,0.9,True,False,False,False,True,False,True,False,False,False,True
37,0,0,5,12,4,5,0,1,0,17,1,0.696,True,False,False,False,True,True,False,False,False,False,True
44,0,1,7,9,7,1,3,0,0,36,12,0.85,True,False,False,False,True,True,False,False,False,True,False
19,0,0,10,10,10,2,2,1,1,18,7,0.95,False,True,True,False,False,True,False,False,False,False,True
32,1,0,7,9,5,4,0,2,0,54,20,0.85,True,False,False,False,True,False,False,True,False,False,True
25,1,0,6,7,11,1,2,3,1,49,7,0.85,True,False,False,True,False,True,False,False,False,False,True
27,0,1,9,7,5,1,3,0,2,44,8,0.85,True,False,False,False,True,False,False,True,False,False,True
20,0,0,6,10,10,2,2,3,0,43,0,0.778,False,True,True,False,False,True,False,False,False,False,True
26,0,0,8,12,12,1,3,1,0,43,20,0.787,False,True,False,False,True,True,False,False,True,False,False
42,0,0,7,7,7,3,4,1,3,40,10,0.769,True,False,False,False,True,False,True,False,False,False,True
23,0,0,8,5,6,4,0,0,0,49,0,0.78,True,False,False,False,True,False,False,True,False,False,True
29,0,0,4,5,11,2,2,0,2,61,2,0.662,False,True,False,False,True,False,True,False,False,False,True
28,0,1,8,4,8,1,0,0,2,32,16,0.85,True,False,True,False,False,False,False,True,False,False,True
45,0,0,4,3,7,2,0,0,0,9,4,0.687,False,True,False,True,False,True,False,False,True,False,False
43,0,0,8,9,4,3,3,0,2,22,0,0.633,False,True,False,False,True,True,False,False,False,False,True
17,0,0,7,6,5,2,0,2,0,50,14,0.57,False,True,False,False,True,False,False,True,False,False,True
40,0,0,7,6,6,4,0,1,2,3,8,0.725,False,True,True,False,False,False,False,True,False,False,True
44,0,0,7,7,7,1,7,2,0,46,2,0.95,False,True,True,False,False,True,False,False,False,True,False
23,0,0,5,7,8,7,3,0,1,16,16,0.806,True,False,False,False,True,True,False,False,False,False,True
34,0,0,3,5,12,3,4,0,1,23,5,0.765,True,False,False,False,True,True,False,False,False,False,True
33,1,0,2,5,4,0,1,0,0,49,11,0.85,True,False,False,True,False,False,True,False,False,False,True
31,0,0,1,9,11,0,4,0,1,39,14,0.747,False,True,False,True,False,True,False,False,True,False,False
45,0,0,9,8,11,5,3,0,3,33,7,0.563,False,True,True,False,False,False,True,False,False,True,False
24,0,0,6,1,4,0,0,0,0,11,3,0.717,True,False,False,False,True,False,True,False,False,True,False
29,0,0,6,5,4,2,1,0,0,13,12,0.666,False,True,True,False,False,False,False,True,True,False,False
41,0,0,1,8,4,6,1,0,1,70,16,0.946,True,False,False,True,False,False,True,False,False,True,False
18,0,0,4,2,4,0,3,2,2,21,0,0.783,True,False,False,True,False,False,True,False,False,True,False
36,0,0,4,6,8,0,4,0,0,0,0,0.748,False,True,False,True,False,False,False,True,False,False,True
24,0,0,8,5,15,1,6,0,1,24,7,0.744,True,False,False,False,True,True,False,False,False,True,False
36,0,0,10,9,15,3,7,1,3,33,21,0.936,False,True,True,False,False,True,False,False,False,True,False
22,0,0,4,6,3,4,0,2,4,28,4,0.774,True,False,False,False,True,True,False,False,True,False,False
30,0,0,8,4,5,1,3,0,0,39,6,0.732,True,False,True,False,False,False,False,True,True,False,False
35,0,0,7,5,9,2,2,1,1,51,15,0.706,False,True,True,False,False,True,False,False,False,False,True
24,0,0,7,15,8,3,2,1,1,72,1,0.567,True,False,True,False,False,False,True,False,True,False,False
38,0,0,6,5,11,0,2,1,0,18,7,0.892,True,False,True,False,False,True,False,False,False,False,True
23,0,0,1,4,7,3,2,1,1,37,0,0.732,False,True,False,True,False,False,True,False,True,False,False
19,0,1,5,9,11,4,4,1,1,34,9,0.85,True,False,True,False,False,True,False,False,False,False,True
41,0,0,7,5,17,1,5,0,1,50,6,0.693,False,True,False,True,False,True,False,False,False,False,True
40,0,0,0,4,5,2,2,1,0,41,1,0.731,True,False,False,True,False,False,True,False,False,False,True
42,0,0,8,7,3,0,0,1,1,10,1,0.729,False,True,True,False,False,False,False,True,False,False,True
26,0,0,3,7,3,1,3,0,2,42,4,0.742,False,True,False,True,False,False,False,True,True,False,False
21,0,0,7,14,9,6,2,0,0,39,3,0.681,True,False,False,False,True,False,True,False,False,False,True
45,0,0,2,8,11,3,5,0,2,19,8,0.789,True,False,False,True,False,True,False,False,False,False,True
21,0,0,6,9,5,6,0,0,0,15,8,0.804,True,False,True,False,False,False,True,False,False,True,False
21,0,0,4,1,3,2,0,0,0,66,11,0.633,False,True,False,False,True,False,True,False,False,True,False
24,0,0,6,5,11,2,3,0,1,44,19,0.791,True,False,False,False,True,True,False,False,False,True,False
42,0,0,5,7,12,3,3,0,2,48,0,0.847,True,False,False,False,True,True,False,False,False,True,False
32,0,0,3,5,6,1,1,1,0,5,4,0.767,True,False,True,False,False,False,False,True,False,True,False
41,0,0,6,9,4,2,0,0,0,16,7,0.913,False,True,False,False,True,False,True,False,False,False,True
39,0,0,2,1,3,0,0,1,0,17,5,0.735,False,True,False,False,True,False,False,True,False,False,True
30,0,0,1,1,6,0,3,1,0,30,0,0.802,True,False,False,True,False,True,False,False,False,True,False
25,0,0,8,8,0,0,0,0,0,36,7,0.685,True,False,True,False,False,False,True,False,False,True,False
33,0,0,6,13,8,0,5,0,1,11,10,0.743,False,True,False,False,True,False,True,False,False,True,False
34,0,0,7,5,6,0,3,3,2,61,1,0.783,False,True,False,False,True,False,True,False,False,False,True
42,0,0,10,2,14,2,0,0,2,44,0,0.692,True,False,True,False,False,True,False,False,False,False,True
32,0,0,8,9,10,2,0,0,0,39,15,0.917,True,False,True,False,False,True,False,False,True,False,False
19,0,0,10,7,8,3,0,1,0,23,13,0.555,True,False,True,False,False,False,True,False,False,True,False
24,0,0,6,5,0,0,0,2,0,58,9,0.794,True,False,False,True,False,False,False,True,False,False,True
35,0,0,4,3,10,3,1,1,0,13,13,0.801,False,True,False,False,True,False,False,True,False,True,False
35,0,0,10,13,12,1,4,1,2,49,9,0.822,False,True,True,False,False,True,False,False,False,False,True
23,0,0,7,9,13,0,4,0,0,34,15,0.639,True,False,True,False,False,False,True,False,False,False,True
18,0,0,8,7,8,0,5,1,1,46,2,0.611,False,True,False,False,True,False,True,False,False,False,True
29,0,0,4,4,2,3,0,3,0,18,14,0.816,True,False,False,True,False,False,True,False,False,True,False
34,0,0,2,10,5,1,1,0,2,27,15,0.709,True,False,False,False,True,False,False,True,False,False,True
40,0,0,3,6,9,1,3,0,0,35,0,0.897,False,True,False,True,False,True,False,False,True,False,False
17,0,0,7,6,12,2,2,0,1,13,9,0.78,False,True,True,False,False,True,False,False,False,False,True
19,0,0,5,4,10,0,1,0,1,30,5,0.849,True,False,True,False,False,True,False,False,False,True,False
31,0,0,4,7,8,3,4,2,0,59,8,0.679,False,True,False,True,False,True,False,False,False,False,True
29,0,0,8,3,4,0,0,0,1,85,4,0.842,False,True,False,False,True,False,False,True,False,True,False
37,0,0,7,4,11,0,2,1,1,45,6,0.867,False,True,True,False,False,True,False,False,False,True,False
40,1,0,3,4,10,1,0,1,0,17,15,0.85,False,True,False,False,True,True,False,False,False,False,True
22,0,0,3,1,2,2,0,0,0,31,8,0.95,True,False,False,True,False,False,True,False,False,True,False
26,0,0,5,4,8,1,5,0,2,57,6,0.779,False,True,False,True,False,True,False,False,False,False,True
43,0,0,8,8,11,2,2,0,0,33,8,0.606,True,False,False,False,True,True,False,False,True,False,False
26,0,0,4,7,3,0,1,0,1,13,11,0.944,True,False,False,False,True,True,False,False,False,False,True
22,0,0,1,2,9,0,3,0,1,26,15,0.858,True,False,False,True,False,True,False,False,False,False,True
18,0,0,0,4,8,0,0,3,0,40,10,0.891,False,True,False,False,True,False,True,False,False,False,True
36,0,0,4,3,2,0,0,0,0,42,8,0.652,True,False,False,False,True,True,False,False,False,True,False
32,0,0,7,8,12,3,3,2,1,36,15,0.674,False,True,False,False,True,True,False,False,False,True,False
18,0,0,6,15,10,3,3,0,0,52,3,0.95,False,True,True,False,False,True,False,False,False,True,False
41,0,0,5,3,11,1,6,0,1,40,5,0.944,False,True,True,False,False,True,False,False,False,True,False
40,0,0,3,8,6,1,0,1,0,53,5,0.644,True,False,False,False,True,True,False,False,False,False,True
23,0,0,3,10,7,3,3,3,1,32,16,0.882,False,True,False,False,True,False,True,False,False,True,False
26,0,0,5,6,1,1,1,1,0,37,20,0.691,False,True,False,False,True,False,False,True,False,False,True
31,0,0,2,5,5,3,1,1,0,45,9,0.736,True,False,False,True,False,False,True,False,True,False,False
18,0,0,3,6,0,1,0,0,2,13,2,0.604,True,False,False,True,False,False,True,False,False,False,True
39,0,0,3,0,4,2,6,0,0,13,10,0.829,True,False,False,False,True,False,False,True,False,True,False
43,0,0,0,8,8,2,3,1,0,44,2,0.733,True,False,False,True,False,False,False,True,False,False,True
20,0,0,3,9,4,2,0,2,0,41,6,0.726,True,False,False,True,False,False,True,False,False,False,True
28,0,0,6,0,8,4,2,0,0,61,9,0.76,False,True,False,True,False,True,False,False,True,False,False
22,0,0,4,7,11,0,1,0,1,54,10,0.812,True,False,True,False,False,True,False,False,False,False,True
19,0,1,10,5,6,2,1,0,3,53,11,0.85,False,True,False,False,True,False,False,True,False,False,True
34,0,0,6,13,10,3,3,2,2,28,7,0.695,True,False,False,False,True,False,True,False,False,True,False
39,0,0,6,15,1,2,1,1,3,22,12,0.628,False,True,False,False,True,False,False,True,False,True,False
18,1,0,7,5,7,0,2,0,1,44,3,0.85,True,False,True,False,False,True,False,False,False,False,True
31,0,0,8,11,9,4,1,0,0,41,13,0.725,True,False,True,False,False,True,False,False,False,False,True
34,1,0,3,11,1,4,0,0,3,22,2,0.85,False,True,False,False,True,True,False,False,True,False,False
18,0,0,3,3,7,0,1,0,0,39,19,0.791,False,True,False,True,False,False,False,True,False,False,True
21,1,0,6,5,16,0,4,0,1,18,4,0.85,False,True,True,False,False,False,True,False,False,False,True
19,0,0,4,5,4,0,3,0,0,24,9,0.696,True,False,False,False,True,False,False,True,False,False,True
35,0,0,7,6,8,5,3,1,0,24,0,0.664,True,False,False,False,True,True,False,False,False,False,True
17,0,0,2,7,5,0,5,0,1,22,11,0.599,False,True,False,False,True,False,True,False,False,False,True
41,0,0,4,6,7,0,0,0,0,22,16,0.833,True,False,False,True,False,True,False,False,False,False,True
39,0,0,1,10,9,3,5,2,2,9,2,0.866,True,False,False,True,False,True,False,False,False,False,True
39,0,0,5,13,9,2,4,0,0,40,0,0.787,False,True,False,False,True,False,True,False,False,False,True
23,0,0,4,8,12,1,2,0,1,41,6,0.798,True,False,False,True,False,False,True,False,False,False,True
33,0,0,11,11,8,4,3,0,2,42,8,0.881,False,True,True,False,False,True,False,False,False,False,True
22,0,0,4,4,7,0,1,0,1,25,0,0.858,False,True,False,False,True,False,True,False,False,False,True
20,0,0,7,12,8,3,4,2,0,29,0,0.872,True,False,True,False,False,True,False,False,False,True,False
27,1,0,6,12,5,3,2,0,1,15,11,0.85,False,True,False,False,True,True,False,False,False,True,False
30,0,0,5,11,8,1,3,3,3,41,9,0.673,True,False,True,False,False,True,False,False,False,False,True
37,0,0,5,9,10,2,6,1,2,53,9,0.638,False,True,False,False,True,True,False,False,False,False,True
38,0,0,6,12,1,2,2,3,1,29,11,0.877,True,False,False,False,True,False,True,False,False,False,True
18,0,0,3,11,3,2,1,3,0,23,3,0.95,False,True,False,False,True,False,True,False,False,False,True
43,0,0,6,5,11,0,1,0,0,18,0,0.635,True,False,False,False,True,True,False,False,False,False,True
40,0,0,3,5,3,2,0,0,1,42,4,0.679,True,False,False,False,True,False,False,True,False,False,True
29,0,0,8,9,9,4,6,0,0,26,10,0.555,False,True,False,True,False,False,True,False,False,False,True
31,0,0,2,4,1,0,0,0,2,40,8,0.747,False,True,False,True,False,False,True,False,False,True,False
44,0,0,4,8,10,3,2,0,1,42,3,0.623,False,True,False,True,False,True,False,False,False,False,True
34,0,0,6,9,13,2,1,1,0,32,5,0.717,False,True,True,False,False,True,False,False,False,False,True
40,0,1,3,4,3,2,2,0,0,3,12,0.85,False,True,False,True,False,False,False,True,False,False,True
32,0,0,6,12,10,4,1,2,0,63,8,0.668,True,False,False,False,True,False,True,False,False,False,True
29,0,0,7,4,7,1,0,0,0,70,10,0.802,False,True,False,False,True,False,True,False,False,False,True
18,0,0,5,7,5,4,0,0,3,24,3,0.568,True,False,False,False,True,False,False,True,False,True,False
39,0,0,2,6,7,4,1,2,0,26,5,0.771,False,True,False,False,True,True,False,False,False,False,True
34,0,0,4,7,5,0,0,0,1,51,10,0.783,True,False,False,True,False,True,False,False,True,False,False
19,0,0,6,7,2,3,2,1,0,36,1,0.776,False,True,True,False,False,False,True,False,False,False,True
26,0,0,6,4,4,2,0,0,1,28,8,0.841,True,False,False,False,True,False,True,False,False,False,True
23,0,0,6,7,4,0,1,0,0,72,14,0.849,True,False,False,True,False,False,True,False,False,False,True
20,0,0,3,7,8,1,4,0,0,9,13,0.747,True,False,False,True,False,False,True,False,False,True,False
45,0,0,6,2,8,0,3,0,0,21,6,0.692,False,True,False,False,True,False,True,False,False,False,True
23,0,0,5,1,8,0,1,1,1,26,3,0.702,False,True,False,False,True,False,True,False,False,False,True
44,0,0,4,5,7,4,0,1,0,4,18,0.723,False,True,False,False,True,False,False,True,False,False,True
33,0,0,5,5,7,1,0,0,0,22,9,0.842,True,False,False,True,False,False,True,False,False,True,False
23,0,0,7,9,9,0,1,0,1,21,13,0.807,True,False,True,False,False,True,False,False,False,False,True
39,0,0,3,9,1,4,0,0,0,35,2,0.939,True,False,False,True,False,False,True,False,False,False,True
27,0,0,3,9,6,2,1,0,0,36,7,0.847,True,False,False,True,False,True,False,False,False,True,False
26,0,0,7,14,6,6,2,2,0,50,2,0.68,True,False,True,False,False,False,True,False,False,True,False
17,0,0,8,9,6,2,3,0,2,76,1,0.867,False,True,True,False,False,True,False,False,False,False,True
40,0,0,3,5,8,3,5,1,2,31,2,0.72,False,True,False,True,False,True,False,False,False,False,True
30,0,0,5,4,9,1,0,0,0,42,9,0.823,True,False,False,False,True,True,False,False,False,False,True
41,0,0,2,10,5,3,4,1,0,23,9,0.75,False,True,False,False,True,False,False,True,True,False,False
27,0,0,5,11,6,3,1,0,3,31,19,0.792,False,True,False,True,False,False,False,True,False,True,False
32,0,0,5,5,2,1,2,1,1,60,12,0.708,False,True,False,False,True,False,False,True,False,False,True
18,0,0,0,3,4,0,2,1,0,27,10,0.7,False,True,False,True,False,False,True,False,True,False,False
37,0,0,3,5,6,1,3,0,0,71,3,0.735,False,True,False,True,False,False,True,False,False,True,False
21,0,0,7,16,9,5,0,1,2,65,15,0.696,True,False,True,False,False,False,False,True,False,False,True
44,0,0,7,3,4,2,0,2,2,23,10,0.738,False,True,True,False,False,True,False,False,False,False,True
28,0,0,6,8,3,0,3,3,1,18,9,0.917,False,True,False,False,True,False,True,False,False,False,True
